QB,RB,RB,WR,WR,WR,TE,FLEX,D,PROJ
Lamar Jackson,Dalvin Cook,Austin Ekeler,A.J. Green,Calvin Ridley,Terry McLaurin,David Johnson,Austin Hooper,New England Patriots,149.43
Lamar Jackson,Dalvin Cook,Aaron Jones,DJ Chark Jr.,A.J. Green,Phillip Dorsett II,Austin Ekeler,Daniel Brown,New England Patriots,149.42
Lamar Jackson,Christian McCaffrey,David Johnson,Chris Godwin,A.J. Green,Christian Kirk,Elijah McGuire,Daniel Brown,New England Patriots,149.42
Lamar Jackson,Christian McCaffrey,Austin Ekeler,Christian Kirk,Marquise Brown,Jaron Brown,David Johnson,Austin Hooper,New England Patriots,149.41
Lamar Jackson,Dalvin Cook,Austin Ekeler,Chris Godwin,Mike Evans,Marvin Jones Jr.,David Johnson,Daniel Brown,San Francisco 49ers,149.41
Lamar Jackson,Dalvin Cook,Aaron Jones,DJ Chark Jr.,Christian Kirk,Sterling Shepard,Austin Ekeler,Daniel Brown,New England Patriots,149.41
Lamar Jackson,Christian McCaffrey,Austin Ekeler,Chris Godwin,Sterling Shepard,Jaron Brown,David Johnson,Daniel Brown,New England Patriots,149.41
Lamar Jackson,Dalvin Cook,Austin Ekeler,Mike Evans,Marquise Brown,Phillip Dorsett II,David Johnson,Austin Hooper,New England Patriots,149.41
Lamar Jackson,Dalvin Cook,Leonard Fournette,DJ Chark Jr.,Marvin Jones Jr.,Christian Kirk,Austin Ekeler,Daniel Brown,New England Patriots,149.41
Lamar Jackson,Christian McCaffrey,Austin Ekeler,Marvin Jones Jr.,Sammy Watkins,Christian Kirk,David Johnson,Daniel Brown,New England Patriots,149.39
Lamar Jackson,Dalvin Cook,Austin Ekeler,Mike Evans,A.J. Green,Marquise Brown,David Johnson,Austin Hooper,San Francisco 49ers,149.39
