Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,
40934-27986,QB,C.J.,C.J. Beathard,Beathard,16.39600067,5,6000,SF@BAL,SF,BAL,,,,,
40934-30733,WR,Cordarrelle,Cordarrelle Patterson,Patterson,2.170000076,10,4600,CHI@DET,CHI,DET,,,,,
40934-28473,RB,Carlos,Carlos Hyde,Hyde,9.890909368,11,6000,NE@HOU,HOU,NE,,,,,
40934-45439,WR,Corey,Corey Davis,Davis,6.730000305,10,5200,TEN@IND,TEN,IND,,,,,
40934-57403,WR,Courtland,Courtland Sutton,Sutton,12.31090892,11,6600,LAC@DEN,DEN,LAC,Q,Ankle,,,
40934-63591,RB,Ronald,Ronald Jones II,Jones II,9.790908813,11,6200,TB@JAC,TB,JAC,,,,,
40934-30989,RB,Kenyan,Kenyan Drake,Drake,9.788888719,9,6400,LAR@ARI,ARI,LAR,,,,,
40934-52613,WR,Curtis,Curtis Samuel,Samuel,9.609090632,11,5800,WAS@CAR,CAR,WAS,,,,,
40934-73273,RB,David,David Montgomery,Montgomery,9.681818182,11,5900,CHI@DET,CHI,DET,,,,,
40934-41741,WR,DaeSean,DaeSean Hamilton,Hamilton,2.300000054,7,4700,LAC@DEN,DEN,LAC,,,,,
40934-70324,QB,Carson,Carson Wentz,Wentz,16.36363636,11,7300,PHI@MIA,PHI,MIA,Q,Hand,,,
40934-12530,D,Dallas,Dallas Cowboys,Cowboys,7,11,4200,BUF@DAL,DAL,BUF,,,,,
40934-83074,TE,Dallas,Dallas Goedert,Goedert,6.440000153,10,5200,PHI@MIA,PHI,MIA,,,,,
40934-55042,TE,Dalton,Dalton Schultz,Schultz,0.550000012,2,4000,BUF@DAL,DAL,BUF,,,,,
40934-56064,RB,Bo,Bo Scarbrough,Scarbrough,9.649999619,2,6100,CHI@DET,DET,CHI,,,,,
40934-53640,RB,Sony,Sony Michel,Michel,9.627272866,11,6600,NE@HOU,NE,HOU,,,,,
40934-44103,RB,Elijah,Elijah McGuire,McGuire,9.550000191,8,4500,OAK@KC,KC,OAK,,,,,
40934-83081,RB,Chase,Chase Edmonds,Edmonds,9.5,8,5000,LAR@ARI,ARI,LAR,Q,Hamstring,,,
40934-30678,WR,Damiere,Damiere Byrd,Byrd,4.383333206,6,4600,LAR@ARI,ARI,LAR,,,,,
40934-60861,WR,Damion,Damion Ratley,Ratley,2.860000038,5,4500,CLE@PIT,CLE,PIT,,,,,
40934-92168,WR,Damion,Damion Willis,Willis,2.116666635,6,4500,NYJ@CIN,CIN,NYJ,,,,,
40934-80546,TE,Dan,Dan Arnold,Arnold,1.75,2,4000,NO@ATL,NO,ATL,,,,,
40934-62718,TE,Daniel,Daniel Brown,Brown,8.5,1,4300,NYJ@CIN,NYJ,CIN,,,,,
40934-52463,TE,Daniel,Daniel Helm,Helm,0,0,4000,SF@BAL,SF,BAL,,,,,
40934-30231,QB,Jacoby,Jacoby Brissett,Brissett,15.92400055,10,7200,TEN@IND,IND,TEN,,,,,
40934-8117,WR,Danny,Danny Amendola,Amendola,7.430000305,10,5400,CHI@DET,DET,CHI,,,,,
40934-7968,QB,Philip,Philip Rivers,Rivers,15.74181851,11,7300,LAC@DEN,LAC,DEN,,,,,
40934-53303,RB,Matt,Matt Breida,Breida,9.466666328,9,5900,SF@BAL,SF,BAL,Q,Ankle,,,
40934-56698,WR,Dante,Dante Pettis,Pettis,3.226666768,9,4700,SF@BAL,SF,BAL,,,,,
40934-71845,RB,Miles,Miles Sanders,Sanders,9.354545593,11,5800,PHI@MIA,PHI,MIA,,,,,
40934-25513,WR,Darius,Darius Jennings,Jennings,0.450000008,6,4500,TEN@IND,TEN,IND,,,,,
40934-63819,WR,Darius,Darius Slayton,Slayton,10.17777761,9,6300,GB@NYG,NYG,GB,,,,,
40934-28930,RB,James,James White,White,9.280000305,10,6000,NE@HOU,NE,HOU,,,,,
40934-41469,TE,Darrell,Darrell Daniels,Daniels,0.449999988,2,4000,LAR@ARI,ARI,LAR,,,,,
40934-27441,RB,Damien,Damien Williams,Williams,8.888888889,9,6000,OAK@KC,KC,OAK,Q,Ribs,,,
40934-38301,TE,Darren,Darren Fells,Fells,7.063636086,11,4700,NE@HOU,HOU,NE,,,,,
40934-25011,TE,Darren,Darren Waller,Waller,10.79090881,11,6100,OAK@KC,OAK,KC,,,,,
40934-104124,WR,Darrius,Darrius Shepherd,Shepherd,-0.466666659,3,4500,GB@NYG,GB,NYG,,,,,
40934-6779,RB,LeSean,LeSean McCoy,McCoy,8.769999695,10,5800,OAK@KC,KC,OAK,Q,Undisclosed,,,
40934-45889,WR,Davante,Davante Adams,Adams,12.71428571,7,8000,GB@NYG,GB,NYG,,,,,
40934-41535,QB,Baker,Baker Mayfield,Mayfield,15.63999939,11,7600,CLE@PIT,CLE,PIT,,,,,
40934-45859,QB,Derek,Derek Carr,Carr,14.83090904,11,7200,OAK@KC,OAK,KC,,,,,
40934-55970,RB,Royce,Royce Freeman,Freeman,8.172727411,11,5300,LAC@DEN,DEN,LAC,,,,,
40934-24891,RB,Chris,Chris Thompson,Thompson,8.166666667,6,5200,WAS@CAR,WAS,CAR,Q,Toe,,,
40934-55366,RB,Qadree,Qadree Ollison,Ollison,8.149999619,2,5800,NO@ATL,ATL,NO,,,,,
40934-79987,WR,David,David Moore,Moore,3.233333376,9,4700,MIN@SEA,SEA,MIN,,,,,
40934-55335,TE,David,David Njoku,Njoku,5.849999905,2,4900,CLE@PIT,CLE,PIT,IR,Wrist,,Greg Zuerlein,10
40934-61555,WR,David,David Sills V,Sills V,0,0,4500,GB@NYG,NYG,GB,,,,,
40934-103901,WR,Davion,Davion Davis,Davis,0,0,4500,MIN@SEA,MIN,SEA,,,,,
40934-29358,QB,Marcus,Marcus Mariota,Mariota,14.34333293,6,6000,TEN@IND,TEN,IND,,,,,
40934-64585,TE,Dawson,Dawson Knox,Knox,4.809091048,11,4500,BUF@DAL,BUF,DAL,,,,,
40934-62628,WR,DeAndre,DeAndre Carter,Carter,0.436363654,11,4500,NE@HOU,HOU,NE,,,,,
40934-16606,WR,DeAndre,DeAndre Hopkins,Hopkins,14.72727273,11,8300,NE@HOU,HOU,NE,,,,,
40934-25837,RB,Duke,Duke Johnson,Johnson,8.127272866,11,5400,NE@HOU,HOU,NE,,,,,
40934-31015,WR,DeAndrew,DeAndrew White,White,0.324999988,4,4500,WAS@CAR,CAR,WAS,,,,,
40934-29351,WR,De'Anthony,De'Anthony Thomas,Thomas,0.166666667,9,4500,SF@BAL,BAL,SF,,,,,
40934-60910,WR,Dede,Dede Westbrook,Westbrook,7.840000153,10,5700,TB@JAC,JAC,TB,,,,,
40934-56018,WR,Deebo,Deebo Samuel,Samuel,9.4,10,5600,SF@BAL,SF,BAL,,,,,
40934-55323,RB,Jaylen,Jaylen Samuels,Samuels,7.775000095,8,5500,CLE@PIT,PIT,CLE,,,,,
40934-6863,TE,Delanie,Delanie Walker,Walker,7.333333333,6,5400,TEN@IND,TEN,IND,Q,Ankle,,,
40934-38264,WR,Demarcus,Demarcus Robinson,Robinson,6.309091048,11,4600,OAK@KC,KC,OAK,,,,,
40934-11432,WR,Demaryius,Demaryius Thomas,Thomas,5.966666751,9,5200,NYJ@CIN,NYJ,CIN,,,,,
40934-19342,TE,Demetrius,Demetrius Harris,Harris,3.466666751,9,4500,CLE@PIT,CLE,PIT,,,,,
40934-12531,D,Denver,Denver Broncos,Broncos,5.909090909,11,4400,LAC@DEN,DEN,LAC,,,,,
40934-62042,WR,Deon,Deon Cain,Cain,1.599999973,7,4800,CLE@PIT,PIT,CLE,,,,,
40934-47788,TE,Deon,Deon Yelder,Yelder,2.166666667,3,4000,OAK@KC,KC,OAK,,,,,
40934-104176,WR,Deonte,Deonte Harris,Harris,0.833333333,9,4500,NO@ATL,NO,ATL,Q,Hamstring,,,
40934-38435,QB,Jared,Jared Goff,Goff,14.1454551,11,7900,LAR@ARI,LAR,ARI,,,,,
40934-22920,TE,Derek,Derek Carrier,Carrier,3.474999905,4,4000,OAK@KC,OAK,KC,,,,,
40934-79974,RB,Tarik,Tarik Cohen,Cohen,7.736363498,11,6400,CHI@DET,CHI,DET,,,,,
40934-60735,RB,Derrius,Derrius Guice,Guice,7.666666667,3,5400,WAS@CAR,WAS,CAR,,,,,
40934-6703,RB,Adrian,Adrian Peterson,Peterson,7.359999847,10,5800,WAS@CAR,WAS,CAR,,,,,
40934-40298,WR,Derrick,Derrick Willies,Willies,7.599999905,1,4500,CLE@PIT,CLE,PIT,,,,,
40934-6840,RB,Frank,Frank Gore,Gore,7.054545316,11,5400,BUF@DAL,BUF,DAL,,,,,
40934-6739,WR,DeSean,DeSean Jackson,Jackson,16.20000076,2,4500,PHI@MIA,PHI,MIA,IR,Abdomen,,Jamize Olawale,0
